company_id,company
1,Tac - American United Dispatch
2,Transit Administrative Center Inc
3,5 Star Taxi
4,City Service
5,Flash Cab
6,Taxicab Insurance Agency Llc
7,Medallion Leasin
8,Sun Taxi
9,Blue Ribbon Taxi Association
10,Chicago City Taxi Association
11,Chicago Independents
12,Taxicab Insurance Agency  LLC
13,Globe Taxi
14,Chicago Taxicab
15,Tac - Yellow Cab Association
16,Star North Taxi Management Llc
17,Choice Taxi Association Inc
18,4053 - 40193 Adwar H. Nikola
19,Tac - Yellow Non Color
20,Wolley Taxi
21,Patriot Taxi Dba Peace Taxi Associat
22,Top Cab
23,Tac - Checker Cab Dispatch
24,312 Medallion Management Corp
25,Koam Taxi Association
26,2733 - 74600 Benny Jona
27,6574 - Babylon Express Inc.
28,5167 - 71969 5167 Taxi Inc
29,Setare Inc
30,3556 - 36214 RC Andrews Cab
31,Metro Jet Taxi A.
32,Tac - Blue Diamond Dispatch
